Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ImageURL,OnView,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Veils, 3",Robert Rauschenberg,4823,"(American, 1925–2008)",(American),(1925),(2008),(male),1974,Lithograph,"composition (irreg.): 12 13/16 x 22 5/8"" (32.6 x 57.5 cm); sheet: 22 5/16 x 30 1/2"" (56.7 x 77.5cm)",Gift of Celeste Bartos,258.1974,Print,Drawings & Prints,1974-04-23,Y,65404,https://www.moma.org/collection/works/65404,https://www.moma.org/media/W1siZiIsIjEyMzkzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=78c4693199d513f5,,,,,32.6,,,57.5,,
Little Sally Waters,Walter Richard Sickert,5414,"(British, 1860–1942)",(British),(1860),(1942),(male),(1907),Lithograph,"composition: 12 15/16 x 8 3/4"" (32.9 x 22.3 cm); sheet: 14 9/16 x 10 3/8"" (37 x 26.4 cm)",Gift of Abby Aldrich Rockefeller (by exchange),816.1956,Print,Drawings & Prints,1956-12-19,N,74287,,,,,,,32.9,,,22.3,,
Plate (folio 13) from LYRIK,A.R. Penck (Ralf Winkler),4546,"(German, 1939–2017)",(German),(1939),(2017),(male),1987,"Screenprint, printed in color","irreg. composition  13 x 8 1/4"" (33.1 x 21 cm)",Purchase,234.1990.9,Illustrated Book,Drawings & Prints,1990-05-02,N,14064,,,,,,,33.1,,,21.0,,
Number 164,Anne Ryan,5097,"(American, 1889–1954)",(American),(1889),(1954),(female),1951,Cut-and-pasted colored and painted paper and cloth on board,"4 x 3 3/4"" (10.4 x 9.7 cm)",Gift of Elizabeth McFadden,758.1978,Drawing,Drawings & Prints,1978-10-27,Y,37994,https://www.moma.org/collection/works/37994,https://www.moma.org/media/W1siZiIsIjMxODgyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8f8337d563e570ba,,,,,10.2,,,9.5,,
Plate (folio 36) from Mirskontsa (Worldbackwards),Vladimir Tatlin,5811,"(Russian, 1885–1953)",(Russian),(1885),(1953),(male),1912,"Lithograph from an illustrated book with twenty-seven lithographs (fifteen with lithographed manuscript text), seven rubber-stamped texts, five lithographed manuscript texts, and collaged cover",,Purchase,202.1977.37,Illustrated Book,Drawings & Prints,1977-05-03,Y,288492,https://www.moma.org/collection/works/288492,https://www.moma.org/media/W1siZiIsIjQ3MDU5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9bf9bc7492db4394,,,,,9.5,,,12.8,,
Untitled,Man Ray (Emmanuel Radnitzky),3716,"(American, 1890–1976)",(American),(1890),(1976),(male),1930,Gelatin silver print,"11 5/8 × 8 7/8"" (29.3 × 22.5 cm)",Gift of James Thrall Soby,172.1941,Photograph,Photography,1941-01-16,Y,47330,https://www.moma.org/collection/works/47330,https://www.moma.org/media/W1siZiIsIjIwODM3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=324c1349c3ac65bf,,,,,29.3,,,22.5,,
Untitled from Koan,Gino Marotta,3780,"(Italian, 1935–2012)",(Italian),(1935),(2012),(male),1965,One from a portfolio of twelve lithographs,"composition and sheet: 8 15/16 × 6 3/8"" (22.7 × 16.2 cm)",Gift of Mr. Sergio Tosi,58.1968.7,Print,Drawings & Prints,1968-02-05,Y,149898,https://www.moma.org/collection/works/149898,https://www.moma.org/media/W1siZiIsIjIyMzYzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a9c0795450a346ed,,,,,22.7,,,16.2,,
Versailles -- Petite fontaine. Dans la cour de marbre,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(male),1903,Albumen silver print,"Approx. 8 9/16 × 7 1/16"" (21.8 × 18 cm)","Abbott-Levy Collection. Acquired through the generosity of Shirley C. Burden, and Family of Man Fund",1.1969.109,Photograph,Photography,1968-03-06,Y,38980,https://www.moma.org/collection/works/38980,https://www.moma.org/media/W1siZiIsIjMxODExMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=cbf3d67167bf5e03,,,,,,,,,,
Trongate in the Olden Time,Thomas Annan,190,"(British, 1829–1887)",(British),(1829),(1887),(male),1868,Photogravure,"6 3/8 × 9 1/2"" (16.2 × 24.0 cm)",Purchase,308.1975.18,Photograph,Photography,,Y,50375,https://www.moma.org/collection/works/50375,https://www.moma.org/media/W1siZiIsIjIwMzA3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=33ee7b1b57577a04,,,,,16.2,,,24.0,,
Adventures of an *,"John Hubley, Faith Hubley","33845, 32272","(American, 1914–1977) (American, 1924–2001)",(American) (American),(1914) (1924),(1977) (2001),(male) (female),1957,"Background animation, mixed media on paper","Overall: 10 5/8 x 21"" (27 x 53.3 cm)","Hubley Collection, The Museum of Modern Art, New York",878.1998,Work on Paper,Film,,N,111834,,,,,,,26.9875539751,,,53.3401066802,,
"Flyer for A Concert of Avant-Garde Music, The Harvard-Radcliffe Music Club, March 31, 1961","Henry Flynt, La Monte Young, Richard Maxfield","35796, 6520, 43277","(American, born 1940) (American, born 1935) (American, 1927–1969)",(American) (American) (American),(1940) (1935) (1927),(0) (0) (1969),(male) (male) (male),1961,Letterpress on cardstock,"sheet: 7 x 10 15/16"" (17.8 x 27.8 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,3060.2008,Print,Drawings & Prints,2008-10-08,Y,137551,https://www.moma.org/collection/works/137551,https://www.moma.org/media/W1siZiIsIjI2NDgzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3afd20e69a0432a5,,,0.0,,0.0,,,0.0,,
Beach Runner (Clara),Nicole Eisenman,19572,"(American, born France. 1965)",(American),(1965),(0),(female),2014,Oil on canvas,"56 x 44"" (142.2 x 111.8 cm)",Acquired with support from The Modern Women's Fund,1003.2015,Painting,Painting & Sculpture,2015-10-05,Y,180114,https://www.moma.org/collection/works/180114,https://www.moma.org/media/W1siZiIsIjMzNDM1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bd5149e15cc05a59,,,0.0,,142.2402844806,,,111.7602235204,,
View of Ancient City (Antikes Stadtbild),Paul Klee,3130,"(German, born Switzerland. 1879–1940)",(German),(1879),(1940),(male),1927,Ink and pencil on paper on board,"17 1/8 x 24 7/8"" (43.5 x 63.2 cm)",Gift of Mr. and Mrs. Walter Bareiss,561.1956,Drawing,Drawings & Prints,1956-12-19,Y,37343,https://www.moma.org/collection/works/37343,https://www.moma.org/media/W1siZiIsIjE2NDM3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=aaeebb0452b477e1,,,,,20.9550419101,,,46.3550927102,,
Tailpiece (page 60) from RÉINCARNATIONS DU PÈRE UBU,Georges Rouault,5053,"(French, 1871–1958)",(French),(1871),(1958),(male),1916-1932,"Wood engraving, printed in black","irreg. composition  4 1/2 x 7 7/8"" (11.4 x 20 cm)",The Louis E. Stern Collection,1042.1964.34,Illustrated Book,Drawings & Prints,1964-10-06,N,30315,,,,,,,11.4,,,20.0,,
"Versailles, 3 rue Carnot",Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(male),1921,Albumen silver print,"Approx. 7 × 8 7/8"" (17.8 × 22.5 cm)","Abbott-Levy Collection. Acquired through the generosity of Shirley C. Burden, and Family of Man Fund",1.1969.133,Photograph,Photography,1968-03-06,Y,39247,https://www.moma.org/collection/works/39247,https://www.moma.org/media/W1siZiIsIjMxMjQxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f0014baf950e82c6,,,,,,,,,,
"Linda Black, East Greenwich, Rhode Island, December 1987",Nicholas Nixon,4315,"(American, born 1947)",(American),(1947),(0),(male),1987,Gelatin silver print,"7 11/16 × 9 5/8"" (19.6 × 24.5 cm)",Gift of the artist,668.1995,Photograph,Photography,1995-06-15,N,55940,,,,,,,19.6,,,24.5,,
During the War: Shortage of Food in Easton,Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(female),1942-1944,Woodcut,"composition: 11 3/16 x 8 7/16"" (28.4 x 21.5 cm); sheet: 12 3/16 x 8 7/16"" (31 x 21.5 cm)",Gift of the artist,239.1992.3,Print,Drawings & Prints,1992-05-20,Y,65008,https://www.moma.org/collection/works/65008,https://www.moma.org/media/W1siZiIsIjIxMDg0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e40a68ee6806c9ca,,,,,28.4,,,21.5,,
Untitled (Gold window),Iran do Espirito Santo,22683,"(Brazilian, born 1963)",(Brazilian),(1963),(0),(male),1998,Colored pencil on paper,"13 7/8 x 11"" (35.2 x 27.9 cm)",Purchase,2411.2001,Drawing,Drawings & Prints,2001-10-11,Y,82258,https://www.moma.org/collection/works/82258,https://www.moma.org/media/W1siZiIsIjExNzI5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8df67e873f1d6468,,,,,35.2426,,,27.9401,,
"""Untitled""",Felix Gonzalez-Torres,2233,"(American, born Cuba. 1957–1996)",(American),(1957),(1996),(male),1990,Three stacks of photolithographs,"Installation (Overall): 23 x 87"" (43.2 x 58.4 x 221 cm) at ideal heights of 17"" (43.2 cm) , 12"" (30.5 cm), and 8"" (20.3 cm)",Gift of  Werner and Elaine Dannheisser,117.1997,Print,Drawings & Prints,1997-03-06,Y,62126,https://www.moma.org/collection/works/62126,,,,220.9804,,43.2,,,58.4201,,
"Ron Bacardi y Compania, S.A., Administration Building, Santiago, Cuba (Bar. Elevations, sections.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1957—1960,Pencil on paper,(31.1 x 49.5 cm.),"Mies van der Rohe Archive, gift of the architect",MR5701.440,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,467060,,,,,,,,,,,,
Aloes (Nice),Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(male),Before 1900,Albumen silver print,"Approx. 8 11/16 × 7 1/16"" (22 × 18 cm)","Abbott-Levy Collection. Acquired through the generosity of Shirley C. Burden, and Family of Man Fund",1.1969.619,Photograph,Photography,1968-03-06,Y,43443,https://www.moma.org/collection/works/43443,https://www.moma.org/media/W1siZiIsIjMyMTI0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7a58d2a30d10fa4a,,,,,,,,,,
"Steens Mountain, Oregon",Lee Friedlander,2002,"(American, born 1934)",(American),(1934),(0),(male),1997,Gelatin silver print,"18 3/4 × 18 9/16"" (47.6 × 47.2 cm)",Gift of the artist,353.2005,Photograph,Photography,2005-05-11,N,93467,,,,,,,47.6,,,47.2,,
Tightrope,Gene Davis,1407,"(American, 1920–1985)",(American),(1920),(1985),(male),1973,Lithograph,"composition (irreg.): 18 5/16 x 27 3/8"" (46.5 x 69.5 cm); sheet (irreg.): 29 1/2 x 40 3/8"" (74.9 x 102.5 cm)",John B. Turner Fund,165.1973,Print,Drawings & Prints,1973-05-07,Y,63404,https://www.moma.org/collection/works/63404,,,,,,46.5,,,69.5,,
"Obispo diversion ditches. Ditch ""A"" flowing into the Canal opposite Empire",Unidentified photographer,8595,,(),(0),(0),(),June 1915,Gelatin silver print,"7 1/16 × 9 7/16"" (18 × 23.9 cm)",Purchase,570.1971.142,Photograph,Photography,1971-11-10,Y,83554,https://www.moma.org/collection/works/83554,https://www.moma.org/media/W1siZiIsIjI2MjI4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=89aa8c5f351353da,,,,,18.0,,,23.9,,
"Buffie Johnson, Painter",Margrethe Mather,3827,"(American, 1885–1952)",(American),(1885),(1952),(female),1933,Gelatin silver print,"3 3/4 × 2 7/8"" (9.5 × 7.3 cm)",Gift of Helen Kornblum in honor of Roxana Marcoci,58.2020,Photograph,Photography,2020-06-09,Y,407385,https://www.moma.org/collection/works/407385,https://www.moma.org/media/W1siZiIsIjQ5MzIxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a1bda72434f94330,,,,,9.5,,,7.3,,
Untitled from Supernova,John Armleder,6621,"(Swiss, born 1948)",(Swiss),(1948),(0),(male),2003,Lithograph from a portfolio of nineteen lithographs and one monotype,"composition: 21 11/16 x 30 3/16"" (55.1 x 76.7 cm); sheet: 22 1/16 x 30 3/16"" (56 x 76.7 cm)",General Print Fund,336.2003.10,Print,Drawings & Prints,2003-11-20,Y,89478,https://www.moma.org/collection/works/89478,https://www.moma.org/media/W1siZiIsIjIxNDE5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f24f2812d6cb5316,,,,,55.1,,,76.7,,
Financial Times,Abram Games,2065,"(British, 1914–1996)",(British),(1914),(1996),(male),1952-1962,Lithograph,"30 × 20"" (76.2 × 50.8 cm)",Gift of the artist,519.1954,Design,Architecture & Design,1954-09-30,Y,7368,https://www.moma.org/collection/works/7368,https://www.moma.org/media/W1siZiIsIjU2NDcyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4c3998b7bdc28484,,,,,76.2001524003,,,50.8001016002,,
A Day in the Life of George & Gilbert,"Gilbert & George, Gilbert Proesch, George Passmore","7496, 25552, 2122","(British) (British, born Italy 1943) (British, born 1942)",(British) (British) (British),(0) (1943) (1942),(0) (0) (0),(male) (male) (male),1971,"Artist's book, letterpress printed with relief halftone and envelope","page (.1, each): 7 1/2 x 4 15/16"" (19 x 12.5 cm); overall (.1, closed): 8 x 4 15/16"" (20.3 x 12.6 cm); sheet (.2): 5 1/4 x 8 1/4"" (13.4 x 21 cm)",Art & Project/Depot VBVR Gift,1024.2007.1-2,Illustrated Book,Drawings & Prints,2007-11-12,Y,109593,https://www.moma.org/collection/works/109593,https://www.moma.org/media/W1siZiIsIjEzNDIyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=67eeb9a4c3a1c749,,,,,19.0,,,12.5,,
"Georg Schaefer Museum, Schweinfurt, Germany (Site plan.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1960—1963,"Pencil and colored pencil (red, green, yellow, brown), Ink on print",(82.5 x 96.5 cm.),"Mies van der Rohe Archive, gift of the architect",MR6008.28,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,468566,,,,,,,,,,,,
"Tempel und Teehaus in Japan, Ausstellung im Gewerbemuseum, Basel",Armin Hofmann,2697,"(Swiss, 1920–2020)",(Swiss),(1920),(2020),(male),1957,Relief print,"50 1/4 x 35 1/2"" (127.6 x 90.1 cm)",Gift of the designer,383.1963,Design,Architecture & Design,1963-06-12,Y,6787,https://www.moma.org/collection/works/6787,https://www.moma.org/media/W1siZiIsIjUxODUwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=140434f6ff6c05a5,,,,,127.6,,,90.1,,
The Indiscreet Jewels ( Les bijoux indiscrets ),René Magritte,3692,"(Belgian, 1898–1967)",(Belgian),(1898),(1967),(male),1963,Lithograph,"composition: 9 3/16 x 11 7/8"" (23.4 x 30.2 cm); sheet: 12 5/8 x 15 7/8"" (32 x 40.4 cm)",Gift of Gilbert E. Kaplan,41.1995,Print,Drawings & Prints,1995-01-24,Y,60750,https://www.moma.org/collection/works/60750,https://www.moma.org/media/W1siZiIsIjEzNTU3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0b2eec3be4012cca,,,,,23.4,,,30.2,,
"Box marked ""working material for One Year""",George Maciunas,21398,"(American, born Lithuania. 1931–1978)",(American),(1931),(1978),(male),,,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC3492,(not assigned),Fluxus Collection,2008-10-08,N,137230,,,,,0.0,,0.0,,,0.0,,
"Sharecropper, Hale County, Alabama",Walker Evans,1777,"(American, 1903–1975)",(American),(1903),(1975),(male),1936,"Gelatin silver print, printed by Rolf Petersen (?)","13 11/16 × 10 5/8"" (34.7 × 27 cm)",Purchase,408.2015,Photograph,Photography,2015-05-28,Y,187244,https://www.moma.org/collection/works/187244,https://www.moma.org/media/W1siZiIsIjM5Nzc2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ffc2b4772cb3fb0e,,,,,34.7,,,27.0,,
56787654 from Nine Prints,James Siena,23005,"(American, born 1957)",(American),(1957),(0),(male),1999-2000,Etching from a portfolio of eight etchings and one engraving,"plate: 6 x 3 15/16"" (15.2 x 10 cm); sheet: 12 7/8 x 10 13/16"" (32.7 x 27.5 cm)",Acquired through the generosity of Mrs. Richard Savitt in honor of Anna Marie Shapiro,2541.2001.2,Print,Drawings & Prints,2001-11-13,Y,82720,https://www.moma.org/collection/works/82720,https://www.moma.org/media/W1siZiIsIjE5MjMwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=169fd7956176f3fd,,,,,15.2,,,10.0,,
"Esplanade Apartment Buildings, Chicago, IL (Building type #1. Floor plan.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1953—1956,Pencil and colored pencil on paper,(61 x 106.7 cm.),"Mies van der Rohe Archive, gift of the architect",MR5304B.85,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,463370,,,,,,,,,,,,
Nuttenkafer,Werner Büttner,7397,"(German, born 1954)",(German),(1954),(0),(male),1988,Mixed media,"11 3/4 x 8 3/8"" (29.8 x 21.3 cm)",Purchase,526.1994,Drawing,Drawings & Prints,1994-10-20,N,37292,,,,,,,29.8,,,21.3,,
Beams,Tadanori Yokoo,6502,"(Japanese, born 1936)",(Japanese),(1936),(0),(male),1997,Silkscreen,"40 9/16 x 28 5/8"" (103 x 72.7 cm)",Gift of the designer,269.1998,Design,Architecture & Design,1998-04-22,Y,5966,https://www.moma.org/collection/works/5966,https://www.moma.org/media/W1siZiIsIjUyNzk4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=12ec7ee255900902,,,,,103.0,,,72.7,,
Harvesters,José Meléndez Contreras,3915,"(American, born Puerto Rico. 1921–1998)",(American),(1921),(1998),(male),,Woodcut,,"Gift of the Departmente de Instrucción, División de Educación de la Comunidad, Puerto Rico",719.1956,Print,Drawings & Prints,1956-12-19,N,73453,,,,,,,,,,,,
Wall-Neon,Keith Sonnier,5526,"(American, 1941–2020)",(American),(1941),(2020),(male),1979,Pencil and felt-tip pen on paper,"15 3/4 × 11 3/4"" (40 × 29.8 cm)","Gift of the Gilbert B. and Lila Silverman Instruction Drawing Collection, Detroit",1591.2018,Drawing,Drawings & Prints,2018-11-05,Y,289417,https://www.moma.org/collection/works/289417,https://www.moma.org/media/W1siZiIsIjQ0NTMzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ed741d7fe13d1560,,,,,40.0050800102,,,29.8450596901,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, IL (Windows. Perspective. Sketch.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1945—1946,Colored pencil on paper,(15.2 x 21.5 cm.),"Mies van der Rohe Archive, gift of the architect",MR4512.380,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,458616,,,,,,,,,,,,
PORTE SAINT MÉRY,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(male),1920,Albumen silver print,,"Abbott-Levy Collection. Acquired through the generosity of Shirley C. Burden, and Family of Man Fund",1.1969.2658,Photograph,Photography,1968-03-06,N,40950,,,,,,,,,,,,
"Annie, Gwen, Lilly, Pam and Tulip",Eric Fischl,1889,"(American, born 1948)",(American),(1948),(0),(male),1986,Illustrated book with nine lithographs,"page (irreg.): 20 1/16 x 15"" (51 x 38.1 cm)",Mr. and Mrs. Constantine Sidamon-Eristoff Fund,23.1987.1-9,Illustrated Book,Drawings & Prints,1987-01-15,Y,9713,https://www.moma.org/collection/works/9713,https://www.moma.org/media/W1siZiIsIjQyODcxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=77a848110eda7cc5,,,,,51.0,,,38.1,,
"IIT Master Plan, General Studies, Preliminary Studies, Chicago, IL (Entrance. Exterior and interior perspectives. Sketch.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1939—1941,Pencil on paper,(15.2 x 21.3 cm.),"Mies van der Rohe Archive, gift of the architect",MR3900.105,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,455074,,,,,,,,,,,,
